TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
section,How to use this template,,,,,,,,
task,Read the Blog Post: [How to do an Annual Review](https://blog.doist.com/annual-review/),,1,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,Mark tasks as complete as you work through them,,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,Click on the comment icon 💬 below tasks to see more details,,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,Use the task comments to fill in your reflection prompts and review questions,,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"If a section isn’t relevant to you, [archive it](https://get.todoist.help/hc/en-us/articles/360007344859-Archive-or-delete-a-section) (e.g. ""I’m a student who’s not working”)",,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,Good luck! 💪,,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
section,Work,,,,,,,,
task,* Reflection Prompts,,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"**Consider your favorite projects**: Think back to the work you did in the past year and reflect on the assignments or projects that felt challenging but energizing. Jot down anything that comes to mind –– from onboarding a new team member to serving on a committee unrelated to your core role. Look for common themes to the kind of work you find most gratifying. Write out the action items it might take to experience more of those high moments in the new year, including any obstacles you might need to break through.",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"**Contemplate your biggest challenges**: Consider any professional challenges that made you unhappy, stood between you and a career goal, or simply made your job harder. This could be anything from a strained work relationship to an abundance of busy work. Write down how you might minimize or eliminate these challenges in the new year. Don’t limit your scope of solutions –– entertain the possibility of a new job or a new career path altogether.",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"** Think about your professional growth**: Our jobs (and by extension our days, weeks, and even years) get stale when we’re stagnant. Reflect on new skills you picked up in the past year or opportunities you had to stretch beyond your previous capabilities. If things stayed the same, consider whether that works for you or if it’s time to try out something new.",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,* Review Questions,,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,In what moments did it feel like I was working within my zone of genius?,,4,2,Naomi (2256034),,,en,Europe/London
note,"Zone of genius: https://www.15five.com/blog/are-you-living-in-your-zone-of-genius/ [[file {""description"":""At 15Five, we believe that everyone has a zone of genius. This belief is one of the core philosophies that guide us every day. Everyone\u2019s zone of genius"",""favicon"":""https://www.15five.com/favicon.ico"",""resource_type"":""website"",""site_name"":""15Five"",""title"":""Ask Yourself This Self Appraisal Question: Are You Living In Your Zone of Genius?"",""url"":""https://www.15five.com/blog/are-you-living-in-your-zone-of-genius/""}]]",,,,Fadeke (5249462),,2022-08-12T11:21:01.817226Z,,
,,,,,,,,,
task,How did I expand my professional capabilities and skill set?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What professional relationships made an impact this year?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What did I work on this year that I’m the most proud of?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,How did I provide support to my colleagues on the job?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What did I learn from any work mistakes I made?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,Did I manage to find work-life balance?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
section,Productivity,,,,,,,,
task,* Reflection Prompts,,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"**Consider your daily progress**: Think about how much you’re getting done each day. Review any daily to-do lists you have on hand, whether they’re from earlier this year or just the other day. Pay attention to what you wrote down versus what you actually got done. Consider whether you’re structuring your day in a way that helps you focus on your priorities and move towards your goals. If not, take our quiz to find a productivity method that works for you –– whether that’s time blocking, pomodoro, GTD, or something else entirely.",,4,2,Naomi (2256034),,,en,Europe/London
note,"Take the productivity quiz: https://todoist.com/productivity-methods [[file {""description"":""Proven systems to organize your tasks, manage your time, maintain your focus, stop procrastination, and achieve your goals. Take the quiz to find the one that fits you best."",""favicon"":""https://todoist.com/favicon.ico"",""image"":""https://todoist.com/static/ogimages/en/og-image-productivity-methods.jpg"",""image_height"":628,""image_width"":1036,""resource_type"":""website"",""site_name"":""Todoist"",""title"":""[Quiz] Which productivity method is right for you? Get a personalized recommendation"",""tn_l"":[""https://image-resize.todoist.com?maxheight=528&url=https%3A%2F%2Ftodoist.com%2Fstatic%2Fogimages%2Fen%2Fog-image-productivity-methods.jpg"",528,528],""tn_m"":[""https://image-resize.todoist.com?maxheight=288&url=https%3A%2F%2Ftodoist.com%2Fstatic%2Fogimages%2Fen%2Fog-image-productivity-methods.jpg"",288,288],""tn_s"":[""https://image-resize.todoist.com?maxheight=96&url=https%3A%2F%2Ftodoist.com%2Fstatic%2Fogimages%2Fen%2Fog-image-productivity-methods.jpg"",96,96],""url"":""https://todoist.com/productivity-methods""}]]",,,,Fadeke (5249462),,2022-08-12T11:21:03.004665Z,,
,,,,,,,,,
task,"**Review your overall productivity**: The biggest indicator of productivity is what you actually got done. Take note of your biggest personal and professional projects. Write down the important things you got done this year. These could be big projects you launched at work, the effort you devoted to a side project, time dedicated to community organizing, or anything meaningful you accomplished and feel proud of.",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"**Assess your digital distractions**: Social media and online content can curtail our productivity and leave us with less time in a day. While Netflix and YouTube have their place in helping us unwind and enjoy entertainment, sometimes they distract and detract. Consider your time spent online over the last year. If your internet use veers toward excessive, think about the ways that time could be better spent. That doesn’t mean replacing your time on Twitter with work, but with activities that serve your bigger goals –– whether that’s baking with your kids or creating the comic book you’ve been thinking about for years.",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,* Review Questions,,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,How much am I really getting done each day?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,How satisfied am I with what I accomplished this year?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What factors might have contributed to accomplishing less than I wanted this year?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,When am I the most productive? How can I create these conditions more often?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,When am I least productive? How can I avoid these conditions more often?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,Do I have a healthy relationship with social media and technology?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
section,Health,,,,,,,,
task,* Reflection Prompts,,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,**Consider your nutrition**: Look back at what you ate over the past year and assess whether what you’re consuming is making you feel your best. Consider everything from your caffeine consumption to your alcohol intake. Note down nutritious foods you want to add more of to your diet and write down areas of improvement.,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"**Account for your workouts**: Review your workouts (or lack thereof). Highlight any PRs or activity results you’re proud of –– from trying out Yoga to going on a walk a few times a week. Try to spot any important trends, like working out less during a stressful month in your life or being more active during spring and summer. Use any new insights to inform the activity goals you set for the coming year. Think back to any injuries and whether you gave your body enough time to recuperate. Don’t forget to think about rest. Consider sleep levels and think about whether you’re waking up rested each day.",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"**Reflect on your mental health**: Think about how you coped with the stresses of life over the past year. Note whether you felt any sadness, anxiety, or anger and how you dealt with those emotions in both healthy and counterproductive ways. Write down strategies to start or continue prioritizing your overall wellbeing in the coming year (e.g. journaling, meditation, therapy, exercise, etc).",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,* Review Questions,,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,Were there stressful or challenging times over the year that impacted my health?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"Overall, has my health improved or deteriorated over the past year?",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"Am I adequately prioritizing healthy eating, exercise, and sleep?",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What did I do for myself this year as self-care? Can I do more?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,Did I devote adequate time to my religious and/or spiritual growth?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What kinds of activities left you feeling drained?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What kinds of activities reenergized you?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
section,Finances,,,,,,,,
task,* Reflection Prompts,,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"**Dig into how much you earned, spent, and saved**: Look at the raw numbers –– note your income from all sources, the amount you spent, and any savings and/or debts. Consider whether these amounts are aligned with your financial goals. If not, jot down ideas for how you could be earning more, saving more, or spending less.",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"**Look at where your money went**: Beyond the big numbers, get into the details and recount precisely where your money went. Look into categories like bills, food, clothing, entertainment, child care, home, and everything else. Take the time to assess your biggest categories and see if there’s room for adjustments and reallocations.",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,**Consider the utility of your income**: Note some of the important things you did with your income this year and how you’ll use your money in the coming year.,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,* Review Questions,,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"Am I satisfied with how much I earned, spent, and saved?",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,Did I accomplish or miss any large financial goals?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What habits contributed to my financial success or failure?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,Am I using my income to serve my other goals in life?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What is the top thing I can do next year to be financially successful?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
section,Relationships,,,,,,,,
task,* Reflection Prompts,,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"**Consider the most important people in your life**: Jot down the names of the people whose presence in your life you value, even if those relationships aren’t always easy. Consider whether you’ve spent enough time with them in the passing year, your favorite memories, biggest learnings, and ideas for spending more or better time with them in the new year. If relationships with any of these people are strained, think through the effort it might take to repair those bonds and whether it’s a worthwhile pursuit.",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,**Think about how you support your loved ones**: Relationships are a mutual dance of give and take. Consider how much you give. Write down the ways you’ve supported the people in your life and the times you might have fallen short. Contemplate how you could be doing more to show your loved ones you care –– whether that’s thoughtful messages or arranging time to talk in between busy days and weeks.,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"**Examine your overall connection to others**: Consider whether you feel supported in life or might be lacking meaningful connection. If you want to build new relationships in the new year, write down or seek out strategies for finding friends, pursuing dating, or building community.",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,* Review Questions,,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What relationships gave me energy?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What relationships zapped my energy?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,Did I spend enough time with my loved ones?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What things might I have prioritized over my relationships? Are those things worth it?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What specific challenges did I encounter in my relationships?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What were the best moments with my friends and family in the last year?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,Are there people I would like to get closer to in the new year?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What new relationships would I like to develop moving forward?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
section,Learning,,,,,,,,
task,* Reflection Prompts,,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"**Recount new knowledge or skills**: Jot down the things you know now that you previously didn’t and what you can do now that you couldn’t before. Record learning milestones like building a personal website from scratch or perfecting how to cook the perfect scalloped potatoes. List off the most impactful books or articles you read that expanded your mind, helped you think differently, or deepened your interest in a particular area. Write down any subjects or skills you want to prioritize learning over the next year.",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"**Consider your ideal learning environments**: In thinking about what you learned, consider how you learned too. Note how and when you did your best learning –– whether that was taking a formal course or working one-on-one with a mentor. Use this information to plan how you’ll pick up new skills and knowledge in the new year.",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,"**Think about your personal life lessons**: Write down your top personal lessons of the year –– whether they were in the “relationship”, “work”, or “productivity” category. Experience is the greatest teacher; consider the experiences in your life that have helped shape you and shifted your perspectives this year.",,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,* Review Questions,,4,1,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,Were there competing priorities that prevented me from learning as much as I could?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What was the most personally impactful thing I learned this year?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,How and when did I do my best learning over the last year?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,What skill should I focus on developing in the new year?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,
task,How am I a different person now compared to last year?,,4,2,Naomi (2256034),,,en,Europe/London
,,,,,,,,,